_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.3196,132.8585153141947,11.8320954044325,132.85846187997,11.83208058559,1.1177,0.0258,-11.767,0.026,-3.334,0.019,0,14.533395,0.002765,14.906114,0.003252,13.987061,0.003863,0.919053
1.3884,132.8557229017303,11.7928529961943,132.85566477407,11.79284468973,1.0056,0.0617,-12.803,0.065,-1.869,0.057,0,12.390759,0.002764,12.693912,0.002854,11.926642,0.003805,0.76727
1.3967,132.8512486455227,11.791224276646,132.8511973167,11.79121022092,1.1481,0.0306,-11.305,0.032,-3.163,0.023,0,14.75341,0.002777,15.124778,0.003049,14.211747,0.003915,0.913031
1.4032,132.8672789488069,11.8243044057233,132.86723116425,11.82429374363,1.1684,0.0169,-10.523,0.017,-2.399,0.013,0,12.667932,0.003443,12.921003,0.00711,12.262112,0.007843,0.658892
1.4512,132.8357341854753,11.7918151549142,132.83573418548,11.79181515491,,,,,,,0,21.161734,0.026548,,,20.517187,0.219259,
1.4884,132.8211232526493,11.8085978456259,132.82107553422,11.80858630094,1.5233,0.2393,-10.509,0.302,-2.598,0.199,0,18.578867,0.003631,19.5997,0.075254,17.438232,0.020327,2.161468
1.5087,132.8210539079944,11.8074465178999,132.82100479457,11.80743346577,1.2306,0.0934,-10.817,0.112,-2.937,0.072,0,17.058317,0.003055,17.782806,0.043493,16.05379,0.01867,1.729017
1.5531,132.8212492449926,11.8044927313634,132.82119757722,11.80447912026,1.1621,0.0165,-11.379,0.018,-3.062,0.012,0,9.921911,0.00276,10.559404,0.002823,9.158524,0.003784,1.400881
1.578,132.8491823864792,11.7878008990782,132.84913659265,11.78778762734,1.5846,0.038,-10.086,0.041,-2.986,0.035,0,12.632659,0.002763,13.031263,0.002842,12.068992,0.003807,0.962272
1.5962,132.8292363328195,11.8349321616525,132.82918672382,11.83491893567,1.1486,0.0146,-10.925,0.015,-2.976,0.011,0,12.390369,0.00277,12.694798,0.002905,11.925044,0.003835,0.769754
1.6035,132.8695709673935,11.8006102840609,132.86951967073,11.8005956954,1.1273,0.0192,-11.298,0.019,-3.282,0.014,0,13.629351,0.002763,13.968946,0.002903,13.118443,0.003835,0.850504
1.6079,132.8186545609526,11.8167166533854,132.81860647196,11.81670448346,1.1841,0.1013,-10.591,0.102,-2.738,0.073,0,17.32688,0.002891,18.180273,0.017007,16.42742,0.005906,1.752853
1.6207,132.8666155367642,11.7961171065365,132.86661553676,11.79611710654,,,,,,,0,21.034203,0.017566,20.776396,0.258921,20.526667,0.263527,0.249729
1.6487,132.8490149690408,11.8412234399014,132.84896984685,11.84119462506,1.588,0.669,-9.936,0.671,-6.483,0.561,0,20.074915,0.005494,20.949007,0.174677,18.903948,0.048499,2.045059
1.6582,132.8637231431913,11.7925034880665,132.86370385292,11.7924917413,0.571,0.0263,-4.249,0.028,-2.643,0.019,0,14.609119,0.002774,14.863294,0.003198,14.199168,0.00395,0.664125
1.6599,132.8502186495687,11.7865880134927,132.85021284781,11.78655849134,0.9626,0.0184,-1.278,0.019,-6.642,0.013,0,13.619302,0.002768,13.889576,0.005622,13.123279,0.005892,0.766297
