_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
0.9915,88.0937611441324,32.5447523438098,88.09376819327,32.54475150381,-0.0425,0.3637,1.337,0.443,-0.189,0.279,0,19.40008,0.004529,20.035851,0.075108,18.624552,0.036963,1.411299
0.9933,88.0615423932457,32.5577142844195,88.06155407847,32.55769128442,0.6805,0.0961,2.216,0.109,-5.175,0.07,0,17.259205,0.002908,17.912712,0.01541,16.513985,0.007571,1.398727
0.9951,88.0567717963856,32.5372614856296,88.05678199754,32.53723652563,0.6413,0.022,1.935,0.026,-5.616,0.017,0,13.293059,0.002768,13.556327,0.003017,12.87065,0.003854,0.685677
0.996,88.0677712735402,32.5293223370056,88.06778750433,32.52929487034,0.4449,0.4175,3.079,0.552,-6.18,0.311,0,19.41403,0.005067,19.982916,0.111824,18.070326,0.051844,1.91259
1.0075,88.0872011508209,32.5577139016584,88.08721255657,32.55768957277,0.658,0.0176,2.163,0.022,-5.474,0.014,0,11.294005,0.002766,11.931586,0.002875,10.525431,0.00381,1.406156
1.0231,88.09377289735,32.54080678801,88.09377289735,32.54080678801,,,,,,,0,15.75774,0.003276,15.716781,0.003846,14.574494,0.004158,1.142286
1.0264,88.0621420745275,32.5312368706073,88.06215265455,32.53121357283,0.7088,0.1155,2.007,0.169,-5.242,0.1,0,17.589441,0.003045,18.408436,0.015127,16.73196,0.011319,1.676476
1.0314,88.0545168914,32.54040398665,88.0545168914,32.54040398665,,,,,,,0,20.801842,0.015669,21.763809,0.334327,19.98625,0.179019,1.777559
1.0341,88.0932921441596,32.5389536305164,88.09329994674,32.53892596385,0.2119,0.5435,1.48,0.637,-6.225,0.402,0,19.857847,0.005595,20.987249,0.166734,18.702967,0.040457,2.284283
1.0395,88.0574526199445,32.5551032596031,88.05746106723,32.55509212627,0.2365,0.2488,1.602,0.297,-2.505,0.186,0,18.841606,0.003601,19.465071,0.058766,18.048651,0.033559,1.41642
1.0415,88.0550085028406,32.5386363843688,88.05501349542,32.53862493548,0.1269,1.805,0.947,2.878,-2.576,1.588,0,20.701399,0.01354,20.790342,0.221781,20.14826,0.14119,0.642082
1.051,88.06662825917,32.52867703917,88.06662825917,32.52867703917,,,,,,,0,20.910976,0.019133,19.58325,0.576509,18.026634,0.420824,1.556616
1.0692,88.0749236901844,32.5272152780504,88.07493676307,32.52719256694,0.059,0.9804,2.48,1.444,-5.11,0.781,0,20.480051,0.008123,21.709173,0.282549,19.711832,0.116444,1.997341
1.0703,88.0694296517286,32.5276367999531,88.06943813333,32.52761210662,0.6716,0.0141,1.609,0.018,-5.556,0.011,0,11.118764,0.002771,11.758475,0.002872,10.350708,0.003806,1.407767
1.0719,88.0563501477413,32.554712380533,88.05635877427,32.5546874872,0.6057,0.0998,1.636,0.082,-5.601,0.06,0,16.685236,0.002866,17.236948,0.007039,15.994034,0.005924,1.242914
1.0863,88.0527088236742,32.5459867591063,88.05271865675,32.54596209244,0.692,0.0188,1.865,0.022,-5.55,0.014,0,13.205279,0.002786,13.475507,0.00314,12.751597,0.004548,0.723909
1.0959,88.07840414138,32.52708837138,88.07840414138,32.52708837138,,,,,,,0,21.308855,0.032834,20.934921,0.211485,18.507044,0.026632,2.427877
1.1015,88.0528885080793,32.5489713331752,88.0528975875,32.54894625762,0.6496,0.038,1.722,0.046,-5.642,0.028,0,11.471515,0.002778,11.620332,0.002876,11.193357,0.003798,0.426974
1.1036,88.0647182516183,32.5284252705633,88.06471912667,32.52842109723,-0.2993,0.2521,0.166,0.345,-0.939,0.225,0,18.894903,0.005011,19.132626,0.098388,17.564552,0.062478,1.568073
1.1072,88.05686803778,32.55631037757,88.05686803778,32.55631037757,,,,,,,0,20.844006,0.016212,21.074533,0.144493,19.748133,0.094635,1.326401
1.1078,88.0714169716214,32.5633441048785,88.07142731285,32.56331801599,0.6779,0.017,1.961,0.02,-5.87,0.013,0,13.592721,0.002785,13.832722,0.002905,13.202278,0.003868,0.630444
1.1098,88.0531872761901,32.5396297305784,88.05317582529,32.53961180169,0.6533,0.525,-2.172,0.713,-4.034,0.437,0,20.043503,0.006035,20.952436,0.169371,19.135355,0.051852,1.817081
