_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.3647,122.67586288673,-12.8484310104087,122.67585313592,-12.84843324152,0.7584,0.0174,-2.139,0.019,-0.502,0.014,0,13.888314,0.002765,14.115397,0.002899,13.514849,0.003824,0.600549
1.3843,122.6352621356669,-12.8272575718687,122.63525197544,-12.82725916298,0.8424,0.0915,-2.229,0.089,-0.358,0.082,0,17.494537,0.002877,18.158585,0.012311,16.727715,0.007944,1.43087
1.3951,122.6551496890043,-12.85699356902,122.65514937901,-12.85698364902,0.3085,0.0351,-0.068,0.038,2.232,0.029,0,15.51114,0.002778,15.768187,0.003285,15.089057,0.004022,0.67913
1.4267,122.6561807193866,-12.8101706680898,122.65616969385,-12.81017222809,0.7771,0.0131,-2.419,0.013,-0.351,0.011,0,12.344398,0.002766,12.45992,0.002889,12.135547,0.003819,0.324373
1.4276,122.68148977426,-12.84004105916,122.68148977426,-12.84004105916,,,,,,,0,21.130959,0.025429,20.806055,0.189138,20.117985,0.154604,0.68807
1.4331,122.6386038074149,-12.8486310382351,122.63864854083,-12.84863962935,0.786,0.0264,9.813,0.032,-1.933,0.022,0,15.070692,0.002767,15.399812,0.003384,14.563331,0.004078,0.836481
1.4369,122.640497955442,-12.8507612888631,122.64048711503,-12.85076351553,0.7687,0.0167,-2.378,0.019,-0.501,0.014,0,13.979687,0.002764,14.21545,0.002895,13.596767,0.003857,0.618683
1.4438,122.6779487610541,-12.847957756532,122.67793764269,-12.84796041431,0.7407,0.0186,-2.439,0.021,-0.598,0.015,0,12.425448,0.002765,12.598276,0.00284,12.124266,0.003797,0.47401
1.4512,122.6361356657798,-12.822330701912,122.63612394232,-12.82233547969,2.4605,0.7455,-2.572,0.702,-1.075,0.914,0,20.479317,0.006527,21.178635,0.133964,19.300001,0.051291,1.878633
1.4722,122.6828252566734,-12.8374510947198,122.6828149684,-12.83745365472,0.7587,0.0503,-2.257,0.056,-0.576,0.048,0,16.305496,0.00281,16.863527,0.005467,15.598526,0.005042,1.265001
1.4778,122.683028198765,-12.8365821723955,122.6830262569,-12.83657821684,0.8988,0.4843,-0.426,0.508,0.89,0.44,0,19.568514,0.004033,20.250406,0.060103,18.728619,0.02601,1.521788
1.4816,122.6592757800246,-12.8585448747132,122.65926721866,-12.85854770138,0.6483,0.5371,-1.878,0.555,-0.636,0.432,0,19.673157,0.004601,21.094852,0.112786,18.516264,0.023911,2.578588
1.4924,122.6398926991745,-12.8163083174343,122.6398843398,-12.81629543299,0.8483,0.4397,-1.834,0.394,2.899,0.388,0,19.583035,0.00419,20.447292,0.076377,18.744726,0.030204,1.702566
1.4992,122.6445425589095,-12.8126107202005,122.64452417676,-12.81258624909,-0.0598,0.719,-4.033,0.598,5.506,0.67,0,20.269218,0.006044,21.300407,0.157632,19.261869,0.052433,2.038538
1.5162,122.6462820750472,-12.8564871437356,122.64628396692,-12.85647086818,0.2214,1.1213,0.415,1.182,3.662,0.96,0,20.50363,0.007208,21.049286,0.127146,19.744127,0.073661,1.305159
1.5329,122.67989616172,-12.84779921873,122.67989616172,-12.84779921873,,,,,,,0,20.962667,0.014287,21.364948,0.347256,19.525988,0.145123,1.838961
1.5615,122.6533559440327,-12.8082398855886,122.65334468613,-12.8082487167,0.0972,0.1479,-2.47,0.133,-1.987,0.133,0,18.227957,0.003056,18.61277,0.021007,17.651764,0.016858,0.961006
1.567,122.6741275469,-12.85467986856,122.6741275469,-12.85467986856,,,,,,,0,20.997274,0.016712,21.696505,0.328539,20.094021,0.14188,1.602484
1.5715,122.642119391909,-12.8127184467142,122.64210757318,-12.81271396227,0.4324,0.039,-2.593,0.039,1.009,0.034,0,15.817838,0.002778,16.089235,0.003867,15.4021,0.004192,0.687136
1.588,122.657512970548,-12.8603568731673,122.65749696916,-12.86035213539,0.5405,0.2425,-3.51,0.275,1.066,0.238,0,18.931578,0.003468,19.978754,0.044107,17.914026,0.014756,2.064728
1.5941,122.6597560829239,-12.8073925791144,122.65975425523,-12.80738173467,-0.084,0.7075,-0.401,0.559,2.44,0.684,0,20.274166,0.006075,20.68651,0.102415,19.598572,0.072766,1.087938
1.5979,122.6851487508386,-12.8317804620289,122.68514569679,-12.83178269314,3.8423,1.3982,-0.67,2.233,-0.502,2.025,0,20.661263,0.008895,21.678707,0.162748,19.694117,0.0811,1.984591
1.6049,122.6825397301538,-12.8456855488244,122.6825362292,-12.84568918438,-0.0141,0.9104,-0.768,0.835,-0.818,0.827,0,20.248535,0.006792,20.498348,0.098183,19.810446,0.077913,0.687902
1.6087,122.654526853029,-12.8604724566774,122.65451250192,-12.8604935189,0.1309,1.7879,-3.148,1.771,-4.739,1.949,0,20.756226,0.011743,21.47773,0.267008,19.604853,0.09024,1.872877
1.6089,122.6601618835897,-12.8606145640895,122.66014574998,-12.86061600409,0.3973,0.117,-3.539,0.122,-0.324,0.101,0,17.75775,0.002947,18.085012,0.01031,17.274395,0.012841,0.810617
1.6203,122.6580744592792,-12.8068830531655,122.65806727158,-12.80688373761,0.0074,0.3786,-1.577,0.313,-0.154,0.337,0,19.474733,0.004108,19.846809,0.040145,18.93631,0.040174,0.9105
1.6296,122.6306106296883,-12.8393693370638,122.63064075628,-12.83940726151,0.2709,0.5075,6.609,0.497,-8.533,0.423,0,19.745426,0.004663,20.183413,0.061994,19.116236,0.061553,1.067177
