_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
19.0544,97.02406431711,-31.26356898137,97.02406431711,-31.26356898137,0.939,1.0911,,,,,,,0,17.514381,0.005927,17.514622,0.010736,16.477039,0.005742,1.037582
19.0552,97.0887023167915,-31.102358527627,97.08871693357,-31.10245906985,0.4061,0.4723,0.43,0.5745,2.816,0.569,-22.622,0.613,0,20.326658,0.006216,21.127447,0.125904,19.171751,0.033072,1.955696
19.0586,97.7519108567905,-31.1938245924298,97.75191896197,-31.19381755243,0.0604,0.0708,0.1803,0.0843,1.56,0.082,1.584,0.087,0,17.795996,0.002928,18.333876,0.011588,17.149281,0.008525,1.184595
19.068,97.0614309142357,-31.4228487398066,97.06143289338,-31.42283731314,0.3615,0.4641,0.2001,0.5265,0.38,0.472,2.571,0.594,0,20.318567,0.00595,20.90781,0.136737,19.50477,0.051359,1.40304
19.0682,97.6898265387247,-31.0886103294319,97.68983564694,-31.08860922721,0.6999,0.7353,-0.646,0.9725,1.755,0.928,0.248,0.911,0,20.765417,0.010046,21.506907,0.157538,19.746956,0.087318,1.759951
19.0683,97.3614032279403,-31.5984696786611,97.36140217389,-31.59845336755,0.3849,0.4678,0.5356,0.5411,-0.202,0.512,3.67,0.525,0,20.352112,0.006361,20.894501,0.125713,19.500957,0.060342,1.393543
19.069,97.318099941732,-30.971022459491,97.31808211062,-30.97102295727,0.0176,0.0203,0.5086,0.0235,-3.44,0.024,-0.112,0.025,0,15.426381,0.00277,15.727399,0.00316,14.956139,0.004175,0.77126
19.0703,97.0285180057985,-31.2288306246967,97.02841782819,-31.22887770918,0.3248,0.3855,1.9493,0.4732,-19.274,0.442,-10.594,0.492,0,20.083088,0.005825,21.242317,0.116633,18.968002,0.033121,2.274315
19.0704,97.0823947265402,-31.4544294241757,97.08237898704,-31.45448911751,0.2494,0.2891,0.8161,0.3439,-3.021,0.323,-13.431,0.34,0,19.915104,0.004752,21.033714,0.090854,18.801739,0.030595,2.231976
19.075,97.3874286012756,-31.5998077196711,97.3874303337,-31.59979620856,0.4588,0.5637,0.4415,0.6572,0.332,0.571,2.59,0.604,0,20.548426,0.007952,20.604172,0.123804,20.032343,0.102182,0.571829
19.0754,97.2237698251842,-30.999824575563,97.22377837011,-30.99981156223,0.1519,0.1884,-0.14,0.2175,1.648,0.212,2.928,0.227,0,19.282419,0.003661,19.934847,0.034201,18.609249,0.02615,1.325598
19.0772,97.0835329015768,-31.4562083979052,97.08352372654,-31.45620224235,0.2057,0.2368,-0.2373,0.2809,-1.761,0.272,1.385,0.289,0,19.523569,0.00402,19.914316,0.062422,18.941238,0.036488,0.973078
19.0774,97.3311804770694,-31.5952135066077,97.33118428091,-31.59520412883,0.283,0.3492,0.5248,0.4051,0.729,0.363,2.11,0.39,0,20.131376,0.005338,20.741583,0.13868,19.078852,0.041502,1.662731
19.0782,97.6038257714274,-31.5452867988284,97.60383742195,-31.54526874994,0.0118,0.0121,1.0478,0.0144,2.234,0.015,4.061,0.014,0,14.200563,0.002762,14.574143,0.002883,13.659471,0.003841,0.914673
19.0797,97.0431354743612,-31.3859860153912,97.04318313739,-31.3859512154,0.0399,0.0515,1.9136,0.0576,9.155,0.054,7.83,0.068,0,16.978495,0.002838,18.018578,0.015064,15.947173,0.004945,2.071404
19.0804,97.2859031978661,-30.9779753992855,97.28589904561,-30.97796004373,0.2042,0.259,0.7501,0.2813,-0.801,0.297,3.455,0.317,0,19.712118,0.004248,20.094503,0.057568,19.130966,0.039161,0.963537
19.0838,97.5338647550295,-31.577098521977,97.53383693344,-31.57712216198,0.3321,0.4115,1.6829,0.4709,-5.333,0.413,-5.319,0.511,0,20.340736,0.006151,21.224966,0.143237,19.125784,0.037609,2.099182
19.0867,97.6769054215744,-31.4897985201145,97.67699645956,-31.48989109348,0.0536,0.0578,0.3514,0.0677,17.467,0.069,-20.829,0.07,0,17.600687,0.002874,18.078476,0.014034,16.953835,0.008369,1.124641
19.0868,97.7604095443841,-31.3431378465752,97.76039939166,-31.34311169102,1.0158,1.0212,0.7586,1.3534,-1.951,1.124,5.885,1.232,0,20.755432,0.012937,21.106369,0.148261,19.959373,0.117045,1.146996
19.0871,97.7632879021118,-31.236482440887,97.76331582562,-31.23643864089,0.008,0.0092,1.9297,0.0111,5.372,0.011,9.855,0.011,0,13.148611,0.00276,13.534617,0.002839,12.602503,0.003805,0.932115
19.0895,97.09098908193,-31.09866795088,97.09098908193,-31.09866795088,5.8089,10.2167,,,,,,,0,21.195204,0.026075,21.654119,0.31127,20.125692,0.214991,1.528427
19.0897,97.0237117559004,-31.3058732849517,97.02372330389,-31.30587218273,0.1933,0.2384,0.2519,0.2655,2.22,0.267,0.248,0.307,0,19.558649,0.004315,20.407581,0.06146,18.695543,0.025801,1.712038
19.0915,97.7429768107295,-31.3955735323399,97.74298089283,-31.39556681234,0.2521,0.2793,-0.2328,0.3645,0.784,0.339,1.512,0.346,0,19.841061,0.004754,20.409227,0.070908,19.211996,0.047173,1.197231
19.0931,97.1228196089418,-31.4993806116811,97.12281853516,-31.49938206057,0.1941,0.229,0.4535,0.2723,-0.206,0.255,-0.326,0.277,0,19.568651,0.004116,20.205564,0.056095,18.923254,0.03861,1.28231
19.0933,97.666623802216,-31.4999148960547,97.66663845473,-31.4998832605,0.0874,0.0949,1.0407,0.1129,2.811,0.113,7.118,0.12,0,18.297695,0.00371,18.502686,0.031007,16.927261,0.014854,1.575424
19.0937,97.7614916224896,-31.3387684889221,97.7614864553,-31.3387717467,0.0654,0.0755,0.0663,0.0912,-0.993,0.092,-0.733,0.097,0,17.893913,0.002953,18.314196,0.010459,17.34259,0.008748,0.971605
19.0944,97.0520615363612,-31.1583176277512,97.05208493389,-31.15833661442,0.2156,0.2488,0.164,0.307,4.505,0.317,-4.272,0.312,0,19.64183,0.00433,20.951609,0.117866,18.510662,0.023561,2.440947
19.0957,97.76645513551,-31.25981814196,97.76645513551,-31.25981814196,1.1061,1.5979,,,,,,,0,21.004013,0.015667,21.123194,0.162806,20.308142,0.21826,0.815052
19.0959,97.46543963012,-31.59448358866,97.46543963012,-31.59448358866,3.7079,4.5868,,,,,,,0,21.261774,0.030261,20.941921,0.267361,19.598379,0.279211,1.343542
19.0966,97.7672105112283,-31.2932103701077,97.76720668322,-31.29319815233,0.2605,0.3227,0.3464,0.3777,-0.736,0.388,2.749,0.448,0,19.962854,0.005038,20.47814,0.072622,19.325489,0.054555,1.152651
19.0972,97.090449519603,-31.0992139044226,97.0903968262,-31.0991642911,0.1913,0.2237,0.6609,0.2614,-10.152,0.273,11.163,0.266,0,19.435083,0.004137,20.592417,0.090622,18.349955,0.021826,2.242462
19.0979,97.6364199204719,-31.5245636554841,97.63641102028,-31.52455037104,0.0719,0.0776,0.2251,0.0895,-1.707,0.09,2.989,0.093,0,18.103003,0.002977,18.47934,0.016411,17.578884,0.010528,0.900455
19.1003,97.0933549761174,-31.4690768984192,97.09334037533,-31.46904733842,0.247,0.2815,0.5691,0.3394,-2.802,0.304,6.651,0.334,0,19.868767,0.004488,21.077925,0.102009,18.748953,0.028951,2.328972
19.1072,97.7675689605548,-31.2878745917589,97.76757229427,-31.28785050287,0.1065,0.1328,0.3994,0.1515,0.641,0.153,5.42,0.176,0,18.72086,0.003303,19.30537,0.032038,17.984585,0.013969,1.320786
19.1078,97.7509335025647,-31.3767512314911,97.75093281541,-31.37671580038,0.6209,0.7247,0.3689,0.9509,-0.132,0.969,7.972,1.047,0,20.675421,0.009371,21.69449,0.205011,19.494873,0.066724,2.199617
19.1092,97.6669773972077,-31.4999822755621,97.66697130893,-31.49996821334,0.1077,0.1403,0.1252,0.1374,-1.168,0.144,3.164,0.19,0,18.487825,0.003213,,,,,
19.1104,97.5872621790123,-31.0092404052289,97.58726330946,-31.00923563634,0.1119,0.1333,0.321,0.1552,0.218,0.156,1.073,0.164,0,18.789022,0.003362,19.3102,0.049608,18.166618,0.021539,1.143581
19.1121,97.6814476799876,-31.4860844539555,97.68144521481,-31.4860677784,0.0976,0.108,0.1777,0.1258,-0.473,0.124,3.752,0.13,0,18.591162,0.003177,19.020796,0.028163,17.975281,0.019074,1.045515
19.115,97.7489203882614,-31.38248102454,97.74892196569,-31.38246778454,0.1536,0.1677,0.3781,0.2168,0.303,0.211,2.979,0.218,0,19.135818,0.003763,19.547058,0.04385,18.665079,0.030422,0.881979
19.1156,97.59391277758,-31.01264625288,97.59391277758,-31.01264625288,10.312,12.9599,,,,,,,1,21.145054,0.059985,19.322397,0.101185,17.848385,0.062164,1.474012
19.1168,97.6848034396157,-31.4827450755636,97.68477544808,-31.4827323289,0.0821,0.0885,0.6377,0.1041,-5.371,0.106,2.868,0.111,0,18.306704,0.00311,19.198507,0.036965,17.380142,0.012294,1.818365
19.119,97.2958469687096,-31.5891858085972,97.29585857776,-31.58916203082,0.6012,0.6934,0.4239,0.8369,2.225,0.817,5.35,0.988,0,20.791618,0.008434,21.340712,0.171624,19.902708,0.09875,1.438004
19.1212,97.0227619254497,-31.300600442972,97.02270276352,-31.30056436743,0.0674,0.0852,2.1071,0.0963,-11.374,0.094,8.117,0.112,0,17.964556,0.00302,19.231339,0.031206,16.836205,0.007475,2.395134
19.125,97.65225258966,-31.51299591679,97.65225258966,-31.51299591679,0.9999,1.2661,,,,,,,0,21.015211,0.016569,21.431301,0.20947,20.291214,0.126501,1.140087
19.1269,97.2031271048514,-31.5554750708143,97.20312050182,-31.55545758637,0.0088,0.0099,0.2223,0.0118,-1.266,0.012,3.934,0.012,0,13.500518,0.00276,13.962839,0.002944,12.871961,0.003804,1.090878
19.1306,97.76581424107,-31.24738410361,97.76581424107,-31.24738410361,2.9137,3.9243,,,,,,,0,21.174164,0.023337,20.564451,0.555889,19.886951,0.255991,0.6775
19.131,97.7680648993556,-31.2855461185742,97.76807348047,-31.28551411413,0.5185,0.675,-0.7222,0.8783,1.65,0.825,7.201,1.088,0,20.578056,0.007946,21.443384,0.197558,19.464233,0.051212,1.979151
19.1318,97.106010924864,-31.0805927662422,97.10601096119,-31.08058406402,0.1803,0.2201,0.4517,0.2547,0.007,0.268,1.958,0.292,0,19.492817,0.003992,19.832024,0.038109,19.017483,0.029957,0.814541
19.1336,97.7619367535084,-31.2246611827232,97.76195505328,-31.22464681828,0.1207,0.1451,1.5843,0.1639,3.521,0.168,3.232,0.171,0,18.63448,0.003259,19.817879,0.074022,17.529823,0.010337,2.288055
19.1338,97.7463248630267,-31.3898779425089,97.74632478493,-31.38987073362,0.0447,0.048,0.1647,0.0596,-0.015,0.059,1.622,0.058,0,17.153633,0.002851,17.5385,0.006846,16.605082,0.006578,0.933418
